schema_version,test_name,seed,attempt_id,event_id,label,source,stop_model,accepted,rejected,reject_reason,start_time_ps,stop_time_ps,true_dt_ps,start_phase_sys_ps,start_phase_ref_ps,ref_phase_offset_ps,max_hits,out_mode,bp_mode,start_only,expect_packet
1,coverage_exhaustive,20004,0,0,conv_0,0,qualified_ref,1,0,none,309375,325086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,1,1,conv_1,0,qualified_ref,1,0,none,1334375,1350086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,2,2,conv_2,0,qualified_ref,1,0,none,2359375,2375086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,3,3,conv_3,0,qualified_ref,1,0,none,3384375,3400086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,4,4,conv_4,0,qualified_ref,1,0,none,4409375,4425086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,5,5,conv_5,0,qualified_ref,1,0,none,9534375,9550086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,6,6,conv_6,0,qualified_ref,1,0,none,10559375,10575086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,7,7,conv_7,0,qualified_ref,1,0,none,11584375,11600086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,8,8,conv_8,0,qualified_ref,1,0,none,12609375,12625086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,9,9,conv_9,0,qualified_ref,1,0,none,13634375,13650086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,10,10,conv_10,0,qualified_ref,1,0,none,18759375,18775086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,11,11,conv_11,0,qualified_ref,1,0,none,19784375,19800086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,12,12,conv_12,0,qualified_ref,1,0,none,20809375,20825086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,13,13,conv_13,0,qualified_ref,1,0,none,21834375,21850086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,14,14,conv_14,0,qualified_ref,1,0,none,22859375,22875086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,15,15,conv_15,1,qualified_ref,1,0,none,27984375,28000086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,16,16,conv_16,1,qualified_ref,1,0,none,29009375,29025086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,17,17,conv_17,1,qualified_ref,1,0,none,30034375,30050086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,18,18,conv_18,1,qualified_ref,1,0,none,31059375,31075086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,19,19,conv_19,1,qualified_ref,1,0,none,32084375,32100086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,20,20,conv_20,1,qualified_ref,1,0,none,37209375,37225086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,21,21,conv_21,1,qualified_ref,1,0,none,38234375,38250086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,22,22,conv_22,1,qualified_ref,1,0,none,39259375,39275086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,23,23,conv_23,1,qualified_ref,1,0,none,40284375,40300086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,24,24,conv_24,1,qualified_ref,1,0,none,41309375,41325086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,25,25,conv_25,1,qualified_ref,1,0,none,46434375,46450086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,26,26,conv_26,1,qualified_ref,1,0,none,47459375,47475086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,27,27,conv_27,1,qualified_ref,1,0,none,48484375,48500086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,28,28,conv_28,1,qualified_ref,1,0,none,49509375,49525086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,29,29,conv_29,1,qualified_ref,1,0,none,50534375,50550086,15711,3125,9461,86,15,0,always_ready,0,1
1,coverage_exhaustive,20004,30,30,conv_30,0,qualified_ref,1,0,none,55659375,55675086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,31,31,conv_31,0,qualified_ref,1,0,none,56684375,56700086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,32,32,conv_32,0,qualified_ref,1,0,none,57709375,57725086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,33,33,conv_33,0,qualified_ref,1,0,none,58734375,58750086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,34,34,conv_34,0,qualified_ref,1,0,none,59759375,59775086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,35,35,conv_35,0,qualified_ref,1,0,none,64884375,64900086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,36,36,conv_36,0,qualified_ref,1,0,none,65909375,65925086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,37,37,conv_37,0,qualified_ref,1,0,none,66934375,66950086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,38,38,conv_38,0,qualified_ref,1,0,none,67959375,67975086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,39,39,conv_39,0,qualified_ref,1,0,none,68984375,69000086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,40,40,conv_40,0,qualified_ref,1,0,none,74109375,74125086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,41,41,conv_41,0,qualified_ref,1,0,none,75134375,75150086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,42,42,conv_42,0,qualified_ref,1,0,none,76159375,76175086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,43,43,conv_43,0,qualified_ref,1,0,none,77184375,77200086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,44,44,conv_44,0,qualified_ref,1,0,none,78209375,78225086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,45,45,conv_45,1,qualified_ref,1,0,none,83334375,83350086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,46,46,conv_46,1,qualified_ref,1,0,none,84359375,84375086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,47,47,conv_47,1,qualified_ref,1,0,none,85384375,85400086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,48,48,conv_48,1,qualified_ref,1,0,none,86409375,86425086,15711,3125,9461,86,1,0,always_ready,0,1
1,coverage_exhaustive,20004,49,49,conv_49,1,qualified_ref,1,0,none,87434375,87450086,15711,3125,9461,86,1,0,always_ready,0,1
